,name,price,review_count,rating,barrio,address
188,Café Duarte,$,3,5.0,Retiro,"Marcelo T. de Alvear 981, C1058 Retiro, Argentina"
189,Cafeteria Territorio Bohemian,,1,5.0,,"Ituzaingó 1480, C1272 Buenos Aires, Argentina"
190,Pani,$$,169,3.5,Recoleta,"Vicente López 2056, C1128ACF Buenos Aires, Argentina"
191,De Linoire,$$,5,2.5,Palermo,"Cabello 3181, C1425 Buenos Aires, Argentina"
192,Oporto Almacén,$$$,51,4.0,Nuñez,"11 de Septiembre 4152, Buenos Aires, Argentina"
193,Lattente,$$,116,4.0,Palermo,"Thames 1891, C1414DDK Buenos Aires, Argentina"
194,Moka Deli,$$,8,4.0,Barracas,"Piedras 1998, C1140ABP Buenos Aires, Argentina"
195,Lidoro,$$,11,3.5,Belgrano,"Monroe 1499, 1428 Buenos Aires, Argentina"
196,Le Ble,$$,38,3.0,Caballito,"Valle 1101, 1406 Buenos Aires, Argentina"
197,Tra Panne,$,6,4.0,Balvanera,"Azcuénaga 783, 1029 Buenos Aires, Argentina"
198,Food Bar,,1,4.0,San Nicolas,"Esmeralda 337, C1035ABG Buenos Aires, Argentina"
199,Whoopies,$$,13,3.0,Recoleta,"Av. Cnel. Díaz 1497, C1425 Buenos Aires, Argentina"
200,Vita,$$,36,3.5,Palermo,"Costa Rica 4522, C1414BSH Buenos Aires, Argentina"
201,Dulce Charlotte,$$,14,3.5,Palermo,"Costa Rica 5610, C1414BTF Buenos Aires, Argentina"
202,Naná,$$,16,2.5,Palermo,"Av. del Libertador 3887, C1425 Buenos Aires, Argentina"
203,Biutiful,$$,22,3.0,Belgrano,"Cuba 1935, Buenos Aires, Argentina"
204,Besar es Obligado,$$,6,3.5,Nuñez,"Besares 2299, C1429DII Buenos Aires, Argentina"
205,Sintaxis,$$,35,4.0,Palermo,"Nicaragua 4849 Palermo, C1414BVK Buenos Aires, Argentina"
206,Fifí Almacén,$$,60,3.5,Palermo,"Gorriti 4812, C1414BJN Buenos Aires, Argentina"
207,Castillo,$$,2,3.0,Chacarita,"Castillo 1366, Buenos Aires, Argentina"
208,Establecimiento de Cafe,$$,3,3.0,Palermo,"Aráoz 2701, Buenos Aires, Argentina"
209,Ficatola,,8,3.5,Colegiales,"Zabala 2605, 1426 Buenos Aires, Argentina"
210,Hipocras,,0,0.0,Caballito,"Rosario 529, C1424 Buenos Aires, Argentina"
211,Ostara Ñoquería,,4,4.5,San Telmo,"Estados Unidos 739, C1101 Buenos Aires, Argentina"
212,Como En Casa,$$,24,4.0,Recoleta,"Riobamba 1239, 1116 Buenos Aires, Argentina"
